,time,signal
0,0,-0.4167578474054706
1,1,-0.2646457509290648
2,2,-2.3518705406140805
3,3,0.36973060317158835
4,4,-2.1054089668247915
5,5,-2.05569278249569
6,6,-0.9090737071376017
7,7,-2.3215043933576496
8,8,-2.606088435218253
9,9,-2.767260081921266
10,10,-1.5855441227936242
11,11,0.6853750915120669
12,12,-0.20960789399641458
13,13,-1.244208786088673
14,14,-0.05643014211162389
15,15,-0.894177317479655
16,16,-0.601926062292171
17,17,0.6895597106471121
18,18,-0.6128940381767061
19,19,-0.21970243221482258
20,20,-1.0415819459183833
21,21,-0.7824550336044505
22,22,-0.3649436972060885
23,23,-1.4319000986853945
24,24,-1.2060062581735562
25,25,-1.1620615493970672
26,26,-1.6030770486860855
27,27,-2.342163746425096
28,28,-3.0291206651935987
29,29,-2.2967959824273767
30,30,-2.257495459110931
31,31,0.34034779632630374
32,32,-2.945772368422816
33,33,-1.5178396660405915
34,34,-0.9435949904089944
35,35,0.289691197417699
36,36,0.30619984080430473
37,37,-0.7275350429850691
38,38,-0.27354867211830763
39,39,0.2906912115732919
40,40,-0.2956258299289314
41,41,0.6539821982077734
42,42,-1.5711556002883338
43,43,1.0468407224849625
44,44,1.7422654715790047
45,45,0.587707981733814
46,46,1.3583319370049216
47,47,1.0189047038753125
48,48,0.010754248497243268
49,49,0.43270147713250773
50,50,1.3207579452039289
51,51,0.36690217536284037
52,52,0.11520340135646312
53,53,0.18858716737721154
54,54,0.5875208115727533
55,55,1.6213774096693334
56,56,0.3123722787075762
57,57,1.0476099451283618
58,58,0.9645331755363115
59,59,-1.135586581458912
60,60,-0.6894421432620463
61,61,-0.6077139688059178
62,62,-0.5948743108948651
63,63,-0.1619207301478401
64,64,-2.3010296728622
65,65,-1.1961308904084575
66,66,-1.7521390301194946
67,67,-2.784837687166277
68,68,-1.3381633086375349
69,69,-0.6659835186987698
70,70,-1.5323584575855551
71,71,-0.19073598182494478
72,72,-0.8499545160645466
73,73,-0.5498712910096729
74,74,-1.5627390938962966
75,75,0.6081477996391388
76,76,-2.7229105044441457
77,77,-1.4875522245745327
78,78,-0.5324238281651903
79,79,-2.86947995556453
80,80,-1.8794492305851371
81,81,-1.6440816545749508
82,82,-0.6601756635239743
83,83,0.4013638348615429
84,84,-0.499653650069458
85,85,-1.6200902909506827
86,86,0.49739593192404585
87,87,1.092600175821231
88,88,0.02176489704697593
89,89,0.6300305709678851
90,90,0.8104945166021578
91,91,1.0997053036418096
92,92,0.9791625911522368
93,93,2.1972680496260666
94,94,-0.33352243097690626
95,95,1.4114326069427128
96,96,1.2392105924535821
97,97,0.6514043057727636
98,98,1.888219030566323
99,99,-1.1452917553168895
100,100,1.031659849772869
101,101,0.8616715244832834
102,102,-0.610494717012456
103,103,0.40334548602440656
104,104,-0.13834548674327515
105,105,2.5357417501965474
106,106,3.115869049216884
107,107,2.4919381983885334
108,108,1.4034632426306208
109,109,0.928291571335698
110,110,0.6689826256510405
111,111,0.1002614451179249
112,112,-0.6254896632477615
113,113,-0.8167665555046371
114,114,-0.7996345581408161
115,115,-1.1426034502286984
116,116,-1.5114952422293648
117,117,-1.993123691498323
118,118,1.1373169966617556
119,119,-1.4542890119916088
120,120,-1.7204082063353519
121,121,-0.6049345049202159
122,122,-1.1155578650028632
123,123,-0.42698194625312935
124,124,0.3020839984158564
125,125,1.2167034867818363
126,126,1.3780351976636571
